,Unnamed: 0,t[s],q_fl1,qd_fl1,Tau_fl1,q_fl2,qd_fl2,Tau_fl2,q_fl3,qd_fl3,Tau_fl3,q_fr1,qd_fr1,Tau_fr1,q_fr2,qd_fr2,Tau_fr2,q_fr3,qd_fr3,Tau_fr3,q_bl1,qd_bl1,Tau_bl1,q_bl2,qd_bl2,Tau_bl2,q_bl3,qd_bl3,Tau_bl3,q_br1,qd_br1,Tau_br1,q_br2,qd_br2,Tau_br2,q_br3,qd_br3,Tau_br3
0,0.0,0.0,0.0,0.0,0.0,-1.00000000003735,-1.35086556484803e-11,-1.99784527875996,2.00000000002769,1.04971408728256e-11,-7.99012305635314,0.0,0.0,0.0,-1.00000000003735,-1.35086556484803e-11,-1.99784527875996,2.00000000002769,1.04971408728256e-11,-7.99012305635314,-0.0,-0.0,-0.0,0.999999999741375,4.83836855500089e-10,4.11890487561583,-1.9999999979642,2.42660354031603e-09,12.7490012653009,-0.0,-0.0,-0.0,0.999999999741375,4.83836855500089e-10,4.11890487561583,-1.9999999979642,2.42660354031603e-09,12.7490012653009
1,0.2399999999999695,0.0024999999999999,0.0,0.0,0.0,-1.0027427259296724,-0.4494609723737263,11.581839177321356,1.999000231973937,-0.1577538914077296,-8.368317065811757,0.0,0.0,0.0,-1.0027427259296724,-0.4494609723737263,11.581839177321356,1.999000231973937,-0.1577538914077296,-8.368317065811757,-0.0,-0.0,-0.0,1.0023478810668227,0.3818666433211332,2.092114166247088,-1.998168677194642,0.2997017398524788,7.726055421438896,-0.0,-0.0,-0.0,1.0023478810668227,0.3818666433211332,2.092114166247088,-1.998168677194642,0.2997017398524788,7.726055421438896
2,0.4799999999999561,0.0049999999999999,0.0,0.0,0.0,-1.0034473545481053,-0.5489681390222646,20.86797821684094,1.9967091594679536,-0.413836833971174,-8.509004186806544,0.0,0.0,0.0,-1.0034473545481053,-0.5489681390222646,20.86797821684094,1.9967091594679536,-0.413836833971174,-8.509004186806544,-0.0,-0.0,-0.0,1.0026861535636002,0.4379049806917836,0.6865193839147092,-1.9951070928367365,0.6471554589781253,4.120939539304757,-0.0,-0.0,-0.0,1.0026861535636002,0.4379049806917836,0.6865193839147092,-1.9951070928367365,0.6471554589781253,4.120939539304757
3,0.719999999999956,0.0074999999999999,0.0,0.0,0.0,-1.0022358216748877,-0.3604703347177347,26.526742004373453,1.9931854240239029,-0.7492998305433448,-8.452492731305634,0.0,0.0,0.0,-1.0022358216748877,-0.3604703347177347,26.526742004373453,1.9931854240239029,-0.7492998305433448,-8.452492731305634,-0.0,-0.0,-0.0,1.0011517112982475,0.2272633944627679,-0.1982316340961497,-1.9909038655599507,1.029353072726727,1.7137308037737211,-0.0,-0.0,-0.0,1.0011517112982475,0.2272633944627679,-0.1982316340961497,-1.9909038655599507,1.029353072726727,1.7137308037737211
4,0.9599999999999658,0.01,0.0,0.0,0.0,-0.999230063092258,0.054083605781251,29.224300704493587,1.9884876671559475,-1.1451938839877511,-8.239091011277154,0.0,0.0,0.0,-0.999230063092258,0.054083605781251,29.224300704493587,1.9884876671559475,-1.1451938839877511,-8.239091011277154,-0.0,-0.0,-0.0,0.9978814483373032,-0.1909097334989334,-0.6624910505003372,-1.9856476160337533,1.4332864940214685,0.2845063997210344,-0.0,-0.0,-0.0,0.9978814483373032,-0.1909097334989334,-0.6624910505003372,-1.9856476160337533,1.4332864940214685,0.2845063997210344
5,1.1999999999999815,0.0125,0.0,0.0,0.0,-0.9945520145824556,0.6327448477160822,29.626824481775987,1.9826745303782511,-1.5825699971679028,-7.90910733868923,0.0,0.0,0.0,-0.9945520145824556,0.6327448477160822,29.626824481775987,1.9826745303782511,-1.5825699971679028,-7.90910733868923,-0.0,-0.0,-0.0,0.9930122587473064,-0.7574660213263421,-0.8066110280126934,-1.9794269649276135,1.8459476357855331,-0.3866564879780638,-0.0,-0.0,-0.0,0.9930122587473064,-0.7574660213263421,-0.8066110280126934,-1.9794269649276135,1.8459476357855331,-0.3866564879780638
6,1.44,0.015,0.0,0.0,0.0,-0.9883236119277192,1.3135645563281453,28.400483500795342,1.9758046552049768,-2.042479172947308,-7.502850025509993,0.0,0.0,0.0,-0.9883236119277192,1.3135645563281453,28.400483500795342,1.9758046552049768,-2.042479172947308,-7.502850025509993,-0.0,-0.0,-0.0,0.9866810365947966,-1.4132570871524768,-0.7309437293480663,-1.972330532910999,2.2543284109421053,-0.5196806744483309,-0.0,-0.0,-0.0,0.9866810365947966,-1.4132570871524768,-0.7309437293480663,-1.972330532910999,2.2543284109421053,-0.5196806744483309
7,1.6800000000000173,0.0175,0.0,0.0,0.0,-0.980666790910287,2.0345938968588304,26.211447926126308,1.9679366831502871,-2.5059724141894764,-7.06062738370757,0.0,0.0,0.0,-0.980666790910287,2.0345938968588304,26.211447926126308,1.9679366831502871,-2.5059724141894764,-7.06062738370757,-0.0,-0.0,-0.0,0.9790246759463126,-2.0991345491103592,-0.5358413172213001,-1.964446940653377,2.6454207324143706,-0.3344889748145246,-0.0,-0.0,-0.0,0.9790246759463126,-2.0991345491103592,-0.5358413172213001,-1.964446940653377,2.6454207324143706,-0.3344889748145246
8,1.9200000000000292,0.02,0.0,0.0,0.0,-0.9717034873123984,2.733884034549524,23.72588792234357,1.959129255728346,-2.954100723757916,-6.62274772525009,0.0,0.0,0.0,-0.9717034873123984,2.733884034549524,23.72588792234357,1.959129255728346,-2.954100723757916,-6.62274772525009,-0.0,-0.0,-0.0,0.970180070868394,-2.755950025333008,-0.3216559543472396,-1.955864808824218,3.0062165131255107,-0.0510042042014031,-0.0,-0.0,-0.0,0.970180070868394,-2.755950025333008,-0.3216559543472396,-1.955864808824218,3.0062165131255107,-0.0510042042014031
9,2.160000000000034,0.0225,0.0,0.0,0.0,-0.96155484887965,3.3534422745775414,21.56896128201466,1.9494400009385309,-3.369200916156747,-6.226848635314776,0.0,0.0,0.0,-0.96155484887965,3.3534422745775414,21.56896128201466,1.9494400009385309,-3.369200916156747,-6.226848635314776,-0.0,-0.0,-0.0,0.9602826202473996,-3.32840143733586,-0.1819813819777849,-1.946670965990796,3.324697790470983,0.1250279983602243,-0.0,-0.0,-0.0,0.9602826202473996,-3.32840143733586,-0.1819813819777849,-1.946670965990796,3.324697790470983,0.1250279983602243
